news_title,type_news,topic,justification_avg_aclaracion_desmintiendo,justification_avg_medio_desconocido,justification_avg_medio_poco_fiable,justification_avg_fuentes_desconocidas,justification_avg_fuentes_no_confiables,justification_avg_sin_fuentes,justification_avg_abordaje_no_serio,justification_avg_no_coherente,justification_avg_titulo_sensacionalista,justification_avg_imagen_sensacionalista,justification_avg_no_concuerda_creencias,justification_avg_no_alineado_ideologia,justification_avg_recuerda_leida,justification_avg_medio_conocido,justification_avg_medio_fiable,justification_avg_fuentes_conocidas,justification_avg_fuentes_confiables,justification_avg_abordaje_serio,justification_avg_coherente,justification_avg_concuerda_creencias,justification_avg_alineado_ideologia,action_avg_compartira_familia_amigos,action_avg_publicara_redes,action_avg_consultara_fuentes,action_avg_aplicara_aprendido,action_avg_no_accion
Stefano Montario: las mascarillas incuban el cáncer,fake_news,Science ,0.0975609756097561,0.23170731707317074,0.2926829268292683,0.15853658536585366,0.10975609756097561,0.25609756097560976,0.2926829268292683,0.07317073170731707,0.47560975609756095,0.08536585365853659,0.15853658536585366,0.08536585365853659,0.2857142857142857,0.3333333333333333,0.19047619047619047,0.0,0.09523809523809523,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.13592233009708737,0.019417475728155338,0.27184466019417475,0.019417475728155338,0.6116504854368932
"La OMS alerta sobre el Virus Nipah, que puede ser peor que el Covid-19",fake_news,Politics ,0.07547169811320754,0.3584905660377358,0.20754716981132076,0.03773584905660377,0.09433962264150944,0.2830188679245283,0.20754716981132076,0.05660377358490566,0.37735849056603776,0.18867924528301888,0.1320754716981132,0.0,0.3170731707317073,0.24390243902439024,0.17073170731707318,0.1951219512195122,0.14634146341463414,0.12195121951219512,0.24390243902439024,0.07317073170731707,0.024390243902439025,0.21505376344086022,0.03225806451612903,0.3225806451612903,0.07526881720430108,0.44086021505376344
Hantavirus. La OMS advierte al mundo del nuevo virus que viene de China,fake_news,Science ,0.046511627906976744,0.2558139534883721,0.27906976744186046,0.06976744186046512,0.06976744186046512,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.37209302325581395,0.16279069767441862,0.09302325581395349,0.023255813953488372,0.5714285714285714,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.0,0.023809523809523808,0.2682926829268293,0.024390243902439025,0.24390243902439024,0.04878048780487805,0.47560975609756095
Demuestran científicamente la relación causal entre la tecnologia 5G y el COVID-19,fake_news,Technology ,0.11538461538461539,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.057692307692307696,0.28846153846153844,0.09615384615384616,0.5192307692307693,0.11538461538461539,0.21153846153846154,0.09615384615384616,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.6,0.3333333333333333,0.2,0.06666666666666667,0.09230769230769231,0.1076923076923077,0.27692307692307694,0.13846153846153847,0.5384615384615384
"El Ministerio del Interior alemán define al coronavirus como ""falsa alarma global"" en un informe filtrado a la prensa",fake_news,Politics ,0.03389830508474576,0.23728813559322035,0.22033898305084745,0.22033898305084745,0.1016949152542373,0.1694915254237288,0.1864406779661017,0.05084745762711865,0.4576271186440678,0.0847457627118644,0.13559322033898305,0.0847457627118644,0.2857142857142857,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.1125,0.025,0.375,0.0375,0.5
El uso prolongado del tapaboca produce hipoxia,fake_news,Science ,0.265625,0.140625,0.171875,0.1875,0.140625,0.21875,0.296875,0.015625,0.34375,0.09375,0.140625,0.078125,0.42857142857142855,0.11428571428571428,0.22857142857142856,0.14285714285714285,0.08571428571428572,0.17142857142857143,0.2,0.17142857142857143,0.11428571428571428,0.19387755102040816,0.061224489795918366,0.35714285714285715,0.12244897959183673,0.46938775510204084
Alimentos que más inmunizan contra el coronavirus,fake_news,Science ,0.09523809523809523,0.11904761904761904,0.14285714285714285,0.023809523809523808,0.047619047619047616,0.16666666666666666,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.047619047619047616,0.11904761904761904,0.047619047619047616,0.2222222222222222,0.08333333333333333,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1388888888888889,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.23376623376623376,0.05194805194805195,0.18181818181818182,0.18181818181818182,0.5064935064935064
Bill Gates anuncia que implantará microchips para combatir Covid-19 y rastrear las vacunas,fake_news,Technology ,0.15942028985507245,0.14492753623188406,0.2463768115942029,0.10144927536231885,0.14492753623188406,0.2028985507246377,0.2608695652173913,0.07246376811594203,0.5072463768115942,0.07246376811594203,0.07246376811594203,0.08695652173913043,0.625,0.2916666666666667,0.125,0.125,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.125,0.08333333333333333,0.14285714285714285,0.04395604395604396,0.2857142857142857,0.04395604395604396,0.5824175824175825
"Madrid denuncia que el Gobierno paralizó en Zaragoza 5.000 kilos de mascarillas para Madrid porque ""Aduanas cierra a las 15h""",fake_news,Politics ,0.08771929824561403,0.14035087719298245,0.2982456140350877,0.07017543859649122,0.14035087719298245,0.22807017543859648,0.2807017543859649,0.15789473684210525,0.42105263157894735,0.05263157894736842,0.10526315789473684,0.0,0.2,0.36,0.28,0.2,0.36,0.08,0.24,0.16,0.0,0.16049382716049382,0.04938271604938271,0.2839506172839506,0.04938271604938271,0.5185185185185185
"Todo apunta a que el COVID-19 ""se escapó"" del Instituto de Virología de Wuhan",fake_news,Politics ,0.3448275862068966,0.20689655172413793,0.2413793103448276,0.10344827586206896,0.20689655172413793,0.1724137931034483,0.10344827586206896,0.06896551724137931,0.4482758620689655,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.5102040816326531,0.10204081632653061,0.061224489795918366,0.10204081632653061,0.16326530612244897,0.1836734693877551,0.2653061224489796,0.2653061224489796,0.08163265306122448,0.2236842105263158,0.05263157894736842,0.34210526315789475,0.07894736842105263,0.4342105263157895
